gradcount,school,city
568,MIT,San Francisco
830,MIT,Boston
192,MIT,New York
85,MIT,Los Angeles
136,MIT,Washington
35,MIT,San Diego
24,MIT,Chicago
34,MIT,Austin
33,MIT,Denver
72,MIT,Seattle
22,MIT,Atlanta
2439,Stanford,San Francisco
132,Stanford,Boston
186,Stanford,New York
162,Stanford,Los Angeles
98,Stanford,Washington
59,Stanford,San Diego
37,Stanford,Chicago
43,Stanford,Austin
65,Stanford,Denver
102,Stanford,Seattle
21,Stanford,Atlanta
165,CalTech,San Francisco
26,CalTech,Boston
10,CalTech,New York
95,CalTech,Los Angeles
6,CalTech,Washington
19,CalTech,San Diego
6,CalTech,Chicago
6,CalTech,Austin
3,CalTech,Denver
22,CalTech,Seattle
2,CalTech,Atlanta
3842,Berkeley,San Francisco
118,Berkeley,Boston
303,Berkeley,New York
404,Berkeley,Los Angeles
98,Berkeley,Washington
144,Berkeley,San Diego
35,Berkeley,Chicago
36,Berkeley,Austin
46,Berkeley,Denver
129,Berkeley,Seattle
19,Berkeley,Atlanta
177,Georgia Tech,San Francisco
59,Georgia Tech,Boston
82,Georgia Tech,New York
35,Georgia Tech,Los Angeles
100,Georgia Tech,Washington
13,Georgia Tech,San Diego
25,Georgia Tech,Chicago
32,Georgia Tech,Austin
28,Georgia Tech,Denver
32,Georgia Tech,Seattle
1122,Georgia Tech,Atlanta
371,Illinois,San Francisco
81,Illinois,Boston
91,Illinois,New York
75,Illinois,Los Angeles
93,Illinois,Washington
45,Illinois,San Diego
1058,Illinois,Chicago
42,Illinois,Austin
65,Illinois,Denver
68,Illinois,Seattle
30,Illinois,Atlanta
414,Michigan,San Francisco
112,Michigan,Boston
288,Michigan,New York
131,Michigan,Los Angeles
117,Michigan,Washington
36,Michigan,San Diego
215,Michigan,Chicago
33,Michigan,Austin
75,Michigan,Denver
85,Michigan,Seattle
40,Michigan,Atlanta
427,Carnegie Mellon,San Francisco
129,Carnegie Mellon,Boston
242,Carnegie Mellon,New York
71,Carnegie Mellon,Los Angeles
170,Carnegie Mellon,Washington
17,Carnegie Mellon,San Diego
43,Carnegie Mellon,Chicago
39,Carnegie Mellon,Austin
33,Carnegie Mellon,Denver
58,Carnegie Mellon,Seattle
24,Carnegie Mellon,Atlanta
439,Cornell,San Francisco
262,Cornell,Boston
492,Cornell,New York
73,Cornell,Los Angeles
156,Cornell,Washington
40,Cornell,San Diego
44,Cornell,Chicago
23,Cornell,Austin
47,Cornell,Denver
74,Cornell,Seattle
23,Cornell,Atlanta
222,Princeton,San Francisco
121,Princeton,Boston
218,Princeton,New York
34,Princeton,Los Angeles
74,Princeton,Washington
18,Princeton,San Diego
21,Princeton,Chicago
10,Princeton,Austin
11,Princeton,Denver
24,Princeton,Seattle
11,Princeton,Atlanta
191,Purdue,San Francisco
68,Purdue,Boston
62,Purdue,New York
55,Purdue,Los Angeles
88,Purdue,Washington
34,Purdue,San Diego
347,Purdue,Chicago
43,Purdue,Austin
50,Purdue,Denver
56,Purdue,Seattle
59,Purdue,Atlanta
286,Texas,San Francisco
41,Texas,Boston
130,Texas,New York
84,Texas,Los Angeles
70,Texas,Washington
42,Texas,San Diego
35,Texas,Chicago
1673,Texas,Austin
71,Texas,Denver
57,Texas,Seattle
29,Texas,Atlanta
